period,domain,diagnostic,value,units,classification,description
Jun_2026,congo_moisture_corridor,qv850,0.02428861971748793,kg kg-1 m s-1,not_classified,850 hPa meridional moisture flux proxy: q850 * v850.
Jun_2026,congo_moisture_corridor,mfc850,4.5654717243847316e-09,kg kg-1 s-1 approximately,moisture_convergence,"850 hPa moisture-flux convergence proxy: -div(q850*u850, q850*v850)."
Jun_2026,congo_moisture_corridor,omega500,-0.007320435676603584,Pa s**-1,rising_motion_tendency,500 hPa vertical velocity / omega
Jun_2026,congo_moisture_corridor,omega700,-0.011280459598369557,Pa s**-1,rising_motion_tendency,700 hPa vertical velocity / omega
Jun_2026,congo_moisture_corridor,vp200,9685452.906785209,m**2 s**-1,not_classified,200 hPa velocity potential
Jun_2026,congo_moisture_corridor,strf200,-25596136.097399376,m**2 s**-1,not_classified,200 hPa stream function
Jun_2026,congo_moisture_corridor,z200,12428.509367250434,gpm,not_classified,200 hPa geopotential height
Jun_2026,congo_moisture_corridor,z500,5879.351934675106,gpm,not_classified,500 hPa geopotential height
Jun_2026,congo_moisture_corridor,sst_proxy,,K,not_classified,Sea surface temperature or near-surface ocean temperature proxy
Jun_2026,western_moisture_entry,u200,-13.750286018638098,m s**-1,easterly_flow,200 hPa zonal wind
Jun_2026,western_moisture_entry,v200,-0.2646098444353822,m s**-1,not_classified,200 hPa meridional wind
Jun_2026,western_moisture_entry,tej_strength,13.750286018638098,m s**-1,moderate_tej,TEJ strength proxy: -u200. Larger positive values indicate stronger easterly flow.
Jun_2026,western_moisture_entry,div200,1.4792686496024887e-06,s-1,divergence,200 hPa horizontal divergence computed from CFSv2 u200 and v200.
Jun_2026,western_moisture_entry,u850,0.4912396054707316,m s**-1,not_classified,850 hPa zonal wind
Jun_2026,western_moisture_entry,v850,1.9672661578052997,m s**-1,not_classified,850 hPa meridional wind
Jun_2026,western_moisture_entry,q850,0.011745567089843255,kg kg**-1,not_classified,850 hPa specific humidity
Jun_2026,western_moisture_entry,wind_speed850,2.6566492981567675,m s**-1,not_classified,850 hPa wind speed.
Jun_2026,western_moisture_entry,qu850,0.007179209838480125,kg kg-1 m s-1,not_classified,850 hPa zonal moisture flux proxy: q850 * u850.
Jun_2026,western_moisture_entry,qv850,0.023186046845003413,kg kg-1 m s-1,not_classified,850 hPa meridional moisture flux proxy: q850 * v850.
Jun_2026,western_moisture_entry,mfc850,3.3833092318295635e-09,kg kg-1 s-1 approximately,moisture_convergence,"850 hPa moisture-flux convergence proxy: -div(q850*u850, q850*v850)."
Jun_2026,western_moisture_entry,omega500,-0.021021627589164076,Pa s**-1,rising_motion_tendency,500 hPa vertical velocity / omega
Jun_2026,western_moisture_entry,omega700,-0.014718082026305878,Pa s**-1,rising_motion_tendency,700 hPa vertical velocity / omega
